Ages,Gender,Height,Weight,Activity Level,Dietary Preference,BMI,Obesity Level,Goal
55,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight
28,Female,170,65,Very Active,Vegan,22.49,healthy weight,mainten_weight
62,Female,160,70,Lightly Active,Omnivore,27.34,overweight,loss_weight
21,Male,190,95,Moderately Active,Omnivore,26.32,overweight,loss_weight
35,Female,168,55,Sedentary,Vegetarian,19.49,healthy weight,mainten_weight
68,Female,155,65,Lightly Active,Vegetarian,27.06,overweight,loss_weight
25,Female,165,60,Lightly Active,Omnivore,22.04,healthy weight,mainten_weight
32,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
48,Female,170,75,Sedentary,Vegetarian,25.95,overweight,loss_weight
55,Male,175,90,Moderately Active,Vegan,29.39,overweight,loss_weight
62,Female,160,65,Lightly Active,Vegan,25.39,overweight,loss_weight
28,Male,190,100,Very Active,Omnivore,27.7,overweight,loss_weight
35,Female,168,55,Sedentary,Vegetarian,19.49,healthy weight,mainten_weight
42,Male,185,95,Moderately Active,Vegan,27.76,overweight,loss_weight
21,Female,172,58,Lightly Active,Omnivore,19.61,healthy weight,mainten_weight
58,Male,178,80,Sedentary,Vegetarian,25.25,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
38,Female,165,65,Sedentary,Vegetarian,23.88,healthy weight,mainten_weight
62,Male,175,90,Lightly Active,Omnivore,29.39,overweight,loss_weight
45,Female,170,75,Very Active,Vegan,25.95,overweight,loss_weight
58,Male,178,85,Sedentary,Omnivore,26.83,overweight,loss_weight
22,Female,160,55,Moderately Active,Vegetarian,21.48,healthy weight,mainten_weight
68,Male,170,70,Lightly Active,Omnivore,24.22,healthy weight,mainten_weight
30,Female,168,60,Very Active,Vegan,21.26,healthy weight,mainten_weight
55,Female,165,78,Sedentary,Vegetarian,28.65,overweight,loss_weight
28,Male,185,100,Moderately Active,Omnivore,29.22,overweight,loss_weight
25,Female,165,60,Lightly Active,Omnivore,22.04,healthy weight,mainten_weight
32,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
55,Female,160,70,Sedentary,Vegetarian,27.34,overweight,loss_weight
40,Male,190,95,Very Active,Vegan,26.32,overweight,loss_weight
62,Male,175,80,Moderately Active,Omnivore,26.12,overweight,loss_weight
28,Female,170,55,Sedentary,Vegan,19.03,healthy weight,mainten_weight
38,Female,168,65,Lightly Active,Vegetarian,23.03,healthy weight,mainten_weight
58,Male,178,85,Moderately Active,Vegan,26.83,overweight,loss_weight
22,Male,185,90,Very Active,Omnivore,26.3,overweight,loss_weight
45,Female,172,75,Sedentary,Vegan,25.35,overweight,loss_weight
28,Female,165,55,Lightly Active,Omnivore,20.2,healthy weight,mainten_weight
55,Male,180,90,Moderately Active,Vegetarian,27.78,overweight,loss_weight
32,Female,170,60,Very Active,Vegan,20.76,healthy weight,mainten_weight
22,Male,190,85,Sedentary,Omnivore,23.55,healthy weight,mainten_weight
62,Female,160,70,Moderately Active,Vegan,27.34,overweight,loss_weight
25,Male,185,95,Lightly Active,Omnivore,27.76,overweight,loss_weight
40,Female,175,75,Very Active,Vegetarian,24.49,healthy weight,mainten_weight
38,Male,178,80,Sedentary,Vegan,25.25,overweight,loss_weight
20,Female,168,50,Lightly Active,Omnivore,17.72,underweight,gain_weight
58,Male,175,85,Moderately Active,Vegetarian,27.76,overweight,loss_weight
25,Male,175,75,Moderately Active,Omnivore,24.49,healthy weight,mainten_weight
38,Female,165,60,Lightly Active,Vegetarian,22.04,healthy weight,mainten_weight
55,Male,180,90,Sedentary,Omnivore,27.78,overweight,loss_weight
62,Female,160,70,Sedentary,Vegan,27.34,overweight,loss_weight
28,Female,170,65,Very Active,Omnivore,22.49,healthy weight,mainten_weight
32,Male,185,85,Moderately Active,Vegan,24.84,healthy weight,mainten_weight
68,Male,170,80,Lightly Active,Omnivore,27.68,overweight,loss_weight
45,Female,165,65,Very Active,Vegetarian,23.88,healthy weight,mainten_weight
72,Female,155,55,Sedentary,Omnivore,22.89,healthy weight,mainten_weight
21,Male,190,95,Moderately Active,Omnivore,26.32,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
30,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
55,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight
22,Female,170,55,Very Active,Vegan,19.03,healthy weight,mainten_weight
60,Female,155,60,Moderately Active,Vegetarian,24.97,healthy weight,mainten_weight
28,Male,190,100,Very Active,Omnivore,27.7,overweight,loss_weight
35,Female,160,50,Lightly Active,Vegan,19.53,healthy weight,mainten_weight
48,Male,185,95,Moderately Active,Omnivore,27.76,overweight,loss_weight
65,Male,170,75,Sedentary,Omnivore,25.95,overweight,loss_weight
19,Female,168,58,Very Active,Vegan,20.55,healthy weight,mainten_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
38,Female,165,68,Lightly Active,Vegetarian,24.98,healthy weight,mainten_weight
55,Male,175,95,Sedentary,Vegan,31.02,obese,loss_weight
22,Female,160,55,Very Active,Omnivore,21.48,healthy weight,mainten_weight
62,Female,168,72,Sedentary,Vegan,25.51,overweight,loss_weight
30,Male,190,100,Moderately Active,Omnivore,27.7,overweight,loss_weight
28,Female,170,65,Lightly Active,Vegetarian,22.49,healthy weight,mainten_weight
40,Male,185,90,Very Active,Omnivore,26.3,overweight,loss_weight
21,Female,168,58,Lightly Active,Vegan,20.55,healthy weight,mainten_weight
58,Male,178,88,Sedentary,Omnivore,27.77,overweight,loss_weight
25,Female,165,58,Moderately Active,Omnivore,21.3,healthy weight,mainten_weight
32,Male,180,85,Lightly Active,Omnivore,26.23,overweight,loss_weight
55,Female,160,70,Sedentary,Vegetarian,27.34,overweight,loss_weight
40,Male,190,95,Moderately Active,Vegan,26.32,overweight,loss_weight
68,Female,155,62,Sedentary,Vegan,25.81,overweight,loss_weight
28,Male,175,78,Very Active,Omnivore,25.47,overweight,loss_weight
35,Female,170,65,Lightly Active,Vegetarian,22.49,healthy weight,mainten_weight
52,Male,185,100,Very Active,Vegan,29.22,overweight,loss_weight
22,Female,168,55,Moderately Active,Vegan,19.49,healthy weight,mainten_weight
47,Male,178,80,Sedentary,Omnivore,25.25,overweight,loss_weight
28,Female,165,60,Lightly Active,Omnivore,22.04,healthy weight,mainten_weight
35,Male,180,80,Moderately Active,Vegetarian,24.69,healthy weight,mainten_weight
55,Female,160,75,Sedentary,Vegan,29.3,overweight,loss_weight
62,Male,175,90,Moderately Active,Omnivore,29.39,overweight,loss_weight
22,Female,170,55,Very Active,Omnivore,19.03,healthy weight,mainten_weight
40,Male,185,100,Lightly Active,Vegetarian,29.22,overweight,loss_weight
68,Female,155,65,Sedentary,Omnivore,27.06,overweight,loss_weight
70,Male,170,85,Sedentary,Vegan,29.41,overweight,loss_weight
33,Female,168,70,Very Active,Omnivore,24.8,healthy weight,mainten_weight
25,Male,190,95,Moderately Active,Vegan,26.32,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
55,Female,165,70,Sedentary,Vegetarian,25.71,overweight,loss_weight
32,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
68,Female,170,65,Lightly Active,Vegan,22.49,healthy weight,mainten_weight
42,Male,185,100,Very Active,Omnivore,29.22,overweight,loss_weight
58,Female,160,55,Sedentary,Vegan,21.48,healthy weight,mainten_weight
35,Male,178,85,Lightly Active,Vegetarian,26.83,overweight,loss_weight
72,Male,175,75,Sedentary,Vegan,24.49,healthy weight,mainten_weight
48,Female,168,68,Moderately Active,Omnivore,24.09,healthy weight,mainten_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
32,Female,165,60,Sedentary,Vegetarian,22.04,healthy weight,mainten_weight
55,Female,160,75,Lightly Active,Vegan,29.3,overweight,loss_weight
40,Male,185,95,Very Active,Omnivore,27.76,overweight,loss_weight
28,Female,170,70,Moderately Active,Vegetarian,24.22,healthy weight,mainten_weight
62,Male,175,80,Lightly Active,Omnivore,26.12,overweight,loss_weight
35,Female,168,65,Moderately Active,Vegan,23.03,healthy weight,mainten_weight
22,Male,190,90,Very Active,Omnivore,24.93,healthy weight,mainten_weight
48,Female,172,78,Sedentary,Vegetarian,26.37,overweight,loss_weight
21,Male,183,82,Moderately Active,Vegan,24.49,healthy weight,mainten_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
58,Male,175,95,Sedentary,Omnivore,31.02,obese,loss_weight
28,Female,170,70,Very Active,Vegan,24.22,healthy weight,mainten_weight
62,Female,160,75,Sedentary,Vegan,29.3,overweight,loss_weight
45,Male,185,105,Moderately Active,Omnivore,30.68,obese,loss_weight
21,Female,168,55,Lightly Active,Vegetarian,19.49,healthy weight,mainten_weight
68,Male,170,85,Sedentary,Omnivore,29.41,overweight,loss_weight
35,Female,172,68,Very Active,Vegan,22.99,healthy weight,mainten_weight
55,Female,158,60,Sedentary,Vegan,24.03,healthy weight,mainten_weight
25,Female,165,55,Lightly Active,Omnivore,20.2,healthy weight,mainten_weight
58,Male,180,90,Moderately Active,Vegetarian,27.78,overweight,loss_weight
32,Female,170,65,Sedentary,Vegan,22.49,healthy weight,mainten_weight
62,Male,175,85,Very Active,Omnivore,27.76,overweight,loss_weight
28,Female,160,50,Lightly Active,Vegan,19.53,healthy weight,mainten_weight
45,Male,185,100,Moderately Active,Omnivore,29.22,overweight,loss_weight
68,Female,162,60,Sedentary,Vegan,22.86,healthy weight,mainten_weight
35,Male,190,80,Very Active,Omnivore,22.16,healthy weight,mainten_weight
21,Female,172,58,Lightly Active,Vegetarian,19.61,healthy weight,mainten_weight
55,Male,178,82,Moderately Active,Vegan,25.88,overweight,loss_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
32,Female,165,60,Lightly Active,Vegetarian,22.04,healthy weight,mainten_weight
55,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight
68,Female,160,70,Sedentary,Vegan,27.34,overweight,loss_weight
28,Male,190,100,Very Active,Omnivore,27.7,overweight,loss_weight
42,Female,170,75,Moderately Active,Vegan,25.95,overweight,loss_weight
38,Male,185,95,Lightly Active,Omnivore,27.76,overweight,loss_weight
52,Female,165,65,Sedentary,Vegetarian,23.88,healthy weight,mainten_weight
22,Female,170,55,Very Active,Vegan,19.03,healthy weight,mainten_weight
48,Male,175,80,Moderately Active,Omnivore,26.12,overweight,loss_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
38,Female,165,68,Sedentary,Vegetarian,24.98,healthy weight,mainten_weight
55,Male,175,90,Lightly Active,Omnivore,29.39,overweight,loss_weight
62,Female,160,75,Sedentary,Vegan,29.3,overweight,loss_weight
28,Male,190,100,Very Active,Omnivore,27.7,overweight,loss_weight
32,Female,170,65,Moderately Active,Vegetarian,22.49,healthy weight,mainten_weight
68,Male,170,80,Lightly Active,Omnivore,27.68,overweight,loss_weight
21,Female,165,55,Very Active,Vegan,20.2,healthy weight,mainten_weight
45,Male,185,95,Moderately Active,Omnivore,27.76,overweight,loss_weight
70,Female,155,60,Sedentary,Vegan,24.97,healthy weight,mainten_weight
25,Female,165,58,Moderately Active,Omnivore,21.3,healthy weight,mainten_weight
32,Male,180,90,Lightly Active,Vegetarian,27.78,overweight,loss_weight
55,Female,160,65,Sedentary,Vegan,25.39,overweight,loss_weight
48,Male,185,105,Very Active,Omnivore,30.68,obese,loss_weight
38,Male,175,75,Moderately Active,Vegetarian,24.49,healthy weight,mainten_weight
21,Female,170,60,Lightly Active,Omnivore,20.76,healthy weight,mainten_weight
58,Male,178,80,Sedentary,Omnivore,25.25,overweight,loss_weight
70,Female,162,68,Sedentary,Vegan,25.91,overweight,loss_weight
42,Male,190,100,Very Active,Vegetarian,27.7,overweight,loss_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
62,Female,165,70,Lightly Active,Vegan,25.71,overweight,loss_weight
38,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
45,Female,170,65,Sedentary,Vegetarian,22.49,healthy weight,mainten_weight
22,Female,160,55,Moderately Active,Vegan,21.48,healthy weight,mainten_weight
58,Male,175,80,Moderately Active,Omnivore,26.12,overweight,loss_weight
30,Male,185,90,Very Active,Omnivore,26.3,overweight,loss_weight
28,Female,170,60,Sedentary,Vegetarian,20.76,healthy weight,mainten_weight
68,Female,155,60,Lightly Active,Vegan,24.97,healthy weight,mainten_weight
42,Male,180,80,Very Active,Omnivore,24.69,healthy weight,mainten_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
32,Female,165,60,Lightly Active,Vegetarian,22.04,healthy weight,mainten_weight
58,Male,175,95,Sedentary,Omnivore,31.02,obese,loss_weight
28,Female,170,70,Very Active,Vegan,24.22,healthy weight,mainten_weight
62,Female,160,75,Sedentary,Vegan,29.3,overweight,loss_weight
40,Male,185,90,Moderately Active,Omnivore,26.3,overweight,loss_weight
35,Female,168,55,Lightly Active,Omnivore,19.49,healthy weight,mainten_weight
22,Male,190,100,Very Active,Vegetarian,27.7,overweight,loss_weight
65,Male,170,80,Sedentary,Omnivore,27.68,overweight,loss_weight
48,Female,163,65,Lightly Active,Vegan,24.46,healthy weight,mainten_weight
25,Male,185,85,Moderately Active,Omnivore,24.84,healthy weight,mainten_weight
38,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
62,Female,160,70,Sedentary,Vegan,27.34,overweight,loss_weight
45,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
28,Female,170,58,Moderately Active,Omnivore,20.07,healthy weight,mainten_weight
55,Male,175,80,Sedentary,Omnivore,26.12,overweight,loss_weight
22,Female,168,62,Lightly Active,Vegan,21.97,healthy weight,mainten_weight
30,Male,180,78,Moderately Active,Omnivore,24.07,healthy weight,mainten_weight
68,Male,170,75,Sedentary,Omnivore,25.95,overweight,loss_weight
35,Female,175,72,Very Active,Vegetarian,23.51,healthy weight,mainten_weight
25,Female,165,55,Lightly Active,Omnivore,20.2,healthy weight,mainten_weight
32,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
55,Female,160,68,Sedentary,Vegetarian,26.56,overweight,loss_weight
28,Male,190,95,Very Active,Vegan,26.32,overweight,loss_weight
62,Male,175,80,Lightly Active,Omnivore,26.12,overweight,loss_weight
21,Female,170,60,Moderately Active,Vegan,20.76,healthy weight,mainten_weight
48,Female,168,75,Sedentary,Vegetarian,26.57,overweight,loss_weight
35,Male,185,100,Very Active,Omnivore,29.22,overweight,loss_weight
40,Male,178,88,Moderately Active,Omnivore,27.77,overweight,loss_weight
25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
32,Female,165,68,Lightly Active,Vegetarian,24.98,healthy weight,mainten_weight
55,Male,175,95,Sedentary,Omnivore,31.02,obese,loss_weight
28,Female,170,72,Very Active,Vegan,24.91,healthy weight,mainten_weight
62,Female,160,65,Lightly Active,Vegan,25.39,overweight,loss_weight
40,Male,185,90,Moderately Active,Omnivore,26.3,overweight,loss_weight
38,Female,172,78,Sedentary,Omnivore,26.37,overweight,loss_weight
22,Male,190,105,Very Active,Vegan,29.09,overweight,loss_weight
19,Female,168,55,Moderately Active,Vegetarian,19.49,healthy weight,mainten_weight
45,Male,178,82,Lightly Active,Omnivore,25.88,overweight,loss_weight
25,Female,165,58,Lightly Active,Omnivore,21.3,healthy weight,mainten_weight
32,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight
58,Female,160,70,Sedentary,Vegetarian,27.34,overweight,loss_weight
65,Male,175,90,Lightly Active,Vegan,29.39,overweight,loss_weight
42,Female,170,65,Moderately Active,Vegan,22.49,healthy weight,mainten_weight
38,Male,185,95,Very Active,Omnivore,27.76,overweight,loss_weight
28,Female,162,55,Sedentary,Vegetarian,20.96,healthy weight,mainten_weight
62,Male,170,80,Moderately Active,Vegan,27.68,overweight,loss_weight
21,Female,158,48,Lightly Active,Omnivore,19.23,healthy weight,mainten_weight
55,Male,178,88,Sedentary,Vegetarian,27.77,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Sedentary,Vegetarian,23.88,healthy weight,mainten_weight
55,Female,160,75,Lightly Active,Vegan,29.3,overweight,loss_weight
40,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
62,Male,175,85,Sedentary,Omnivore,27.76,overweight,loss_weight
28,Female,170,55,Moderately Active,Vegetarian,19.03,healthy weight,mainten_weight
35,Male,185,110,Very Active,Omnivore,32.14,obese,loss_weight
22,Female,160,50,Lightly Active,Vegan,19.53,healthy weight,mainten_weight
48,Male,180,90,Moderately Active,Omnivore,27.78,overweight,loss_weight
58,Female,155,60,Sedentary,Vegan,24.97,healthy weight,mainten_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
55,Male,175,95,Sedentary,Omnivore,31.02,obese,loss_weight
28,Female,170,72,Very Active,Vegan,24.91,healthy weight,mainten_weight
62,Female,160,60,Sedentary,Vegan,23.44,healthy weight,mainten_weight
38,Male,190,105,Moderately Active,Omnivore,29.09,overweight,loss_weight
22,Female,168,58,Lightly Active,Vegetarian,20.55,healthy weight,mainten_weight
40,Male,178,85,Very Active,Vegan,26.83,overweight,loss_weight
27,Female,172,68,Moderately Active,Omnivore,22.99,healthy weight,mainten_weight
58,Male,182,100,Lightly Active,Vegan,30.19,obese,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Sedentary,Vegetarian,23.88,healthy weight,mainten_weight
58,Female,160,70,Lightly Active,Vegan,27.34,overweight,loss_weight
40,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
62,Male,175,85,Lightly Active,Vegetarian,27.76,overweight,loss_weight
38,Female,170,75,Moderately Active,Vegan,25.95,overweight,loss_weight
28,Male,185,90,Very Active,Omnivore,26.3,overweight,loss_weight
55,Female,155,60,Sedentary,Vegan,24.97,healthy weight,mainten_weight
70,Male,170,75,Lightly Active,Omnivore,25.95,overweight,loss_weight
22,Female,168,55,Moderately Active,Vegetarian,19.49,healthy weight,mainten_weight
25,Female,165,55,Moderately Active,Omnivore,20.2,healthy weight,mainten_weight
32,Male,180,85,Lightly Active,Omnivore,26.23,overweight,loss_weight
58,Female,160,68,Sedentary,Vegetarian,26.56,overweight,loss_weight
40,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
62,Female,155,50,Sedentary,Vegan,20.81,healthy weight,mainten_weight
28,Male,175,70,Moderately Active,Omnivore,22.86,healthy weight,mainten_weight
65,Male,170,75,Lightly Active,Omnivore,25.95,overweight,loss_weight
35,Female,168,60,Very Active,Vegan,21.26,healthy weight,mainten_weight
48,Male,185,100,Moderately Active,Omnivore,29.22,overweight,loss_weight
22,Female,170,58,Lightly Active,Vegetarian,20.07,healthy weight,mainten_weight
25,Female,165,55,Moderately Active,Omnivore,20.2,healthy weight,mainten_weight
38,Male,180,85,Lightly Active,Omnivore,26.23,overweight,loss_weight
55,Female,160,65,Sedentary,Vegetarian,25.39,overweight,loss_weight
62,Male,175,90,Moderately Active,Vegan,29.39,overweight,loss_weight
28,Female,170,60,Very Active,Vegan,20.76,healthy weight,mainten_weight
42,Male,185,95,Lightly Active,Omnivore,27.76,overweight,loss_weight
58,Female,155,50,Sedentary,Vegetarian,20.81,healthy weight,mainten_weight
33,Male,190,100,Moderately Active,Vegan,27.7,overweight,loss_weight
21,Female,168,58,Very Active,Omnivore,20.55,healthy weight,mainten_weight
68,Male,170,75,Lightly Active,Omnivore,25.95,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
38,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
62,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight
45,Female,170,75,Very Active,Vegan,25.95,overweight,loss_weight
58,Male,185,105,Moderately Active,Omnivore,30.68,obese,loss_weight
22,Female,160,50,Lightly Active,Vegan,19.53,healthy weight,mainten_weight
70,Female,155,55,Sedentary,Vegetarian,22.89,healthy weight,mainten_weight
30,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight
42,Female,168,60,Moderately Active,Vegan,21.26,healthy weight,mainten_weight
55,Male,178,85,Sedentary,Omnivore,26.83,overweight,loss_weight
25,Female,165,58,Moderately Active,Omnivore,21.3,healthy weight,mainten_weight
38,Male,180,85,Lightly Active,Vegetarian,26.23,overweight,loss_weight
55,Female,160,70,Sedentary,Vegan,27.34,overweight,loss_weight
62,Male,175,95,Moderately Active,Omnivore,31.02,obese,loss_weight
28,Female,170,65,Very Active,Vegetarian,22.49,healthy weight,mainten_weight
32,Male,185,90,Lightly Active,Omnivore,26.3,overweight,loss_weight
58,Female,155,62,Sedentary,Vegan,25.81,overweight,loss_weight
40,Male,190,110,Very Active,Omnivore,30.47,obese,loss_weight
21,Female,168,55,Lightly Active,Vegan,19.49,healthy weight,mainten_weight
70,Male,170,75,Sedentary,Omnivore,25.95,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
58,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight
62,Female,160,70,Moderately Active,Vegan,27.34,overweight,loss_weight
28,Male,190,100,Very Active,Omnivore,27.7,overweight,loss_weight
45,Female,170,75,Lightly Active,Vegetarian,25.95,overweight,loss_weight
30,Male,185,95,Moderately Active,Vegan,27.76,overweight,loss_weight
65,Female,155,60,Sedentary,Omnivore,24.97,healthy weight,mainten_weight
22,Female,168,55,Very Active,Vegetarian,19.49,healthy weight,mainten_weight
50,Male,170,85,Lightly Active,Vegan,29.41,overweight,loss_weight
25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight
32,Female,165,60,Sedentary,Vegetarian,22.04,healthy weight,mainten_weight
55,Male,175,90,Lightly Active,Omnivore,29.39,overweight,loss_weight
28,Female,170,70,Very Active,Vegan,24.22,healthy weight,mainten_weight
40,Male,190,110,Moderately Active,Omnivore,30.47,obese,loss_weight
62,Female,160,55,Sedentary,Vegan,21.48,healthy weight,mainten_weight
22,Male,185,95,Very Active,Omnivore,27.76,overweight,loss_weight
38,Female,168,65,Lightly Active,Vegan,23.03,healthy weight,mainten_weight
27,Female,172,75,Moderately Active,Vegetarian,25.35,overweight,loss_weight
45,Male,180,100,Very Active,Omnivore,30.86,obese,loss_weight
32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight
55,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight
28,Female,170,70,Very Active,Vegan,24.22,healthy weight,mainten_weight
48,Female,160,60,Sedentary,Vegan,23.44,healthy weight,mainten_weight
62,Male,170,85,Lightly Active,Omnivore,29.41,overweight,loss_weight
