user_id,age,gender,height,weight,activity_level,dietary_preference,BMI,obesity_level,goal,TDEE,daily_cals_goal,protein_g,carbs_g,fats_g
30,22,Female,160,50,Lightly Active,Vegan,19.53,healthy weight,mainten_weight,1689.88,1689.88,126.74,168.99,56.33
31,25,Female,165,60,Lightly Active,Omnivore,22.04,healthy weight,mainten_weight,1849.72,1849.72,138.73,184.97,61.66
32,38,Male,180,85,Moderately Active,Vegetarian,26.23,overweight,loss_weight,2774.5,2274.5,277.45,208.09,92.48
33,55,Female,160,65,Sedentary,Vegan,25.39,overweight,loss_weight,1456.8,956.8,145.68,109.26,48.56
34,42,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight,3333.56,2833.56,333.36,250.02,111.12
35,62,Female,155,58,Sedentary,Vegan,24.14,healthy weight,mainten_weight,1293.3,1293.3,97.0,129.33,43.11
36,28,Male,175,70,Moderately Active,Omnivore,22.86,healthy weight,mainten_weight,2571.06,2571.06,192.83,257.11,85.7
37,31,Female,170,75,Lightly Active,Vegetarian,25.95,overweight,loss_weight,2057.69,1557.69,205.77,154.33,68.59
38,58,Male,185,90,Moderately Active,Omnivore,26.3,overweight,loss_weight,2745.44,2245.44,274.54,205.91,91.51
39,22,Female,168,55,Very Active,Vegan,19.49,healthy weight,mainten_weight,2292.53,2292.53,171.94,229.25,76.42
40,45,Male,182,80,Lightly Active,Omnivore,24.15,healthy weight,mainten_weight,2361.56,2361.56,177.12,236.16,78.72
41,25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight,2797.75,2797.75,209.83,279.78,93.26
42,32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight,1870.34,1870.34,140.28,187.03,62.34
43,55,Male,175,90,Sedentary,Vegan,29.39,overweight,loss_weight,2068.5,1568.5,206.85,155.14,68.95
44,68,Female,160,75,Lightly Active,Omnivore,29.3,overweight,loss_weight,1717.38,1217.38,171.74,128.8,57.25
45,28,Male,185,95,Very Active,Omnivore,27.76,overweight,loss_weight,3400.41,2900.41,340.04,255.03,113.35
46,38,Female,170,70,Moderately Active,Vegan,24.22,healthy weight,mainten_weight,2187.83,2187.83,164.09,218.78,72.93
47,62,Male,170,85,Sedentary,Omnivore,29.41,overweight,loss_weight,1929.0,1429.0,192.9,144.67,64.3
48,45,Female,168,60,Very Active,Vegetarian,21.26,healthy weight,mainten_weight,2180.4,2180.4,163.53,218.04,72.68
49,22,Female,172,55,Moderately Active,Vegan,18.59,healthy weight,mainten_weight,2098.7,2098.7,157.4,209.87,69.96
50,58,Male,178,98,Sedentary,Omnivore,30.93,obese,loss_weight,2169.0,1669.0,216.9,162.67,72.3
51,25,Male,180,85,Lightly Active,Omnivore,26.23,overweight,loss_weight,2550.62,2050.62,255.06,191.3,85.02
52,32,Female,165,60,Moderately Active,Vegetarian,22.04,healthy weight,mainten_weight,2030.89,2030.89,152.32,203.09,67.7
53,48,Male,175,95,Very Active,Omnivore,31.02,obese,loss_weight,3120.09,2620.09,312.01,234.01,104.0
54,55,Female,160,70,Sedentary,Vegan,27.34,overweight,loss_weight,1516.8,1016.8,151.68,113.76,50.56
55,28,Male,185,90,Moderately Active,Vegan,26.3,overweight,loss_weight,2977.94,2477.94,297.79,223.35,99.26
56,62,Female,155,65,Lightly Active,Omnivore,27.06,overweight,loss_weight,1578.16,1078.16,157.82,118.36,52.61
57,35,Female,170,75,Very Active,Vegetarian,25.95,overweight,loss_weight,2546.96,2046.96,254.7,191.02,84.9
58,22,Male,190,80,Moderately Active,Vegan,22.16,healthy weight,mainten_weight,2917.88,2917.88,218.84,291.79,97.26
59,58,Male,178,100,Sedentary,Omnivore,31.56,obese,loss_weight,2193.0,1693.0,219.3,164.47,73.1
60,40,Female,168,72,Lightly Active,Vegetarian,25.51,overweight,loss_weight,1937.38,1437.38,193.74,145.3,64.58
61,25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight,2797.75,2797.75,209.83,279.78,93.26
62,32,Female,165,60,Lightly Active,Vegetarian,22.04,healthy weight,mainten_weight,1801.59,1801.59,135.12,180.16,60.05
63,55,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight,2068.5,1568.5,206.85,155.14,68.95
64,28,Female,170,65,Very Active,Vegan,22.49,healthy weight,mainten_weight,2434.84,2434.84,182.61,243.48,81.16
65,62,Female,160,70,Lightly Active,Omnivore,27.34,overweight,loss_weight,1689.88,1189.88,168.99,126.74,56.33
66,21,Male,190,95,Moderately Active,Omnivore,26.32,overweight,loss_weight,3158.12,2658.12,315.81,236.86,105.27
67,35,Female,168,55,Sedentary,Vegetarian,19.49,healthy weight,mainten_weight,1516.8,1516.8,113.76,151.68,50.56
68,68,Female,155,65,Lightly Active,Vegetarian,27.06,overweight,loss_weight,1536.91,1036.91,153.69,115.27,51.23
69,25,Female,165,60,Lightly Active,Omnivore,22.04,healthy weight,mainten_weight,1849.72,1849.72,138.73,184.97,61.66
70,32,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight,2821.0,2321.0,282.1,211.57,94.03
71,48,Female,170,75,Sedentary,Vegetarian,25.95,overweight,loss_weight,1693.8,1193.8,169.38,127.03,56.46
72,55,Male,175,90,Moderately Active,Vegan,29.39,overweight,loss_weight,2671.81,2171.81,267.18,200.39,89.06
73,62,Female,160,65,Lightly Active,Vegan,25.39,overweight,loss_weight,1621.12,1121.12,162.11,121.58,54.04
74,28,Male,190,100,Very Active,Omnivore,27.7,overweight,loss_weight,3540.56,3040.56,354.06,265.54,118.02
75,35,Female,168,55,Sedentary,Vegetarian,19.49,healthy weight,mainten_weight,1516.8,1516.8,113.76,151.68,50.56
76,42,Male,185,95,Moderately Active,Vegan,27.76,overweight,loss_weight,2946.94,2446.94,294.69,221.02,98.23
77,21,Female,172,58,Lightly Active,Omnivore,19.61,healthy weight,mainten_weight,1909.88,1909.88,143.24,190.99,63.66
78,58,Male,178,80,Sedentary,Vegetarian,25.25,overweight,loss_weight,1953.0,1453.0,195.3,146.47,65.1
79,25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight,2797.75,2797.75,209.83,279.78,93.26
80,38,Female,165,65,Sedentary,Vegetarian,23.88,healthy weight,mainten_weight,1596.3,1596.3,119.72,159.63,53.21
81,62,Male,175,90,Lightly Active,Omnivore,29.39,overweight,loss_weight,2322.03,1822.0300000000002,232.2,174.15,77.4
82,45,Female,170,75,Very Active,Vegan,25.95,overweight,loss_weight,2460.71,1960.71,246.07,184.55,82.02
83,58,Male,178,85,Sedentary,Omnivore,26.83,overweight,loss_weight,2013.0,1513.0,201.3,150.97,67.1
84,22,Female,160,55,Moderately Active,Vegetarian,21.48,healthy weight,mainten_weight,1982.45,1982.45,148.68,198.25,66.08
85,68,Male,170,70,Lightly Active,Omnivore,24.22,healthy weight,mainten_weight,1962.81,1962.81,147.21,196.28,65.43
86,30,Female,168,60,Very Active,Vegan,21.26,healthy weight,mainten_weight,2309.78,2309.78,173.23,230.98,76.99
87,55,Female,165,78,Sedentary,Vegetarian,28.65,overweight,loss_weight,1650.3,1150.3,165.03,123.77,55.01
88,28,Male,185,100,Moderately Active,Omnivore,29.22,overweight,loss_weight,3132.94,2632.94,313.29,234.97,104.43
89,25,Female,165,60,Lightly Active,Omnivore,22.04,healthy weight,mainten_weight,1849.72,1849.72,138.73,184.97,61.66
90,32,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight,2821.0,2321.0,282.1,211.57,94.03
91,55,Female,160,70,Sedentary,Vegetarian,27.34,overweight,loss_weight,1516.8,1016.8,151.68,113.76,50.56
92,40,Male,190,95,Very Active,Vegan,26.32,overweight,loss_weight,3350.81,2850.81,335.08,251.31,111.69
93,62,Male,175,80,Moderately Active,Omnivore,26.12,overweight,loss_weight,2462.56,1962.56,246.26,184.69,82.09
94,28,Female,170,55,Sedentary,Vegan,19.03,healthy weight,mainten_weight,1573.8,1573.8,118.03,157.38,52.46
95,38,Female,168,65,Lightly Active,Vegetarian,23.03,healthy weight,mainten_weight,1854.88,1854.88,139.12,185.49,61.83
96,58,Male,178,85,Moderately Active,Vegan,26.83,overweight,loss_weight,2600.12,2100.12,260.01,195.01,86.67
97,22,Male,185,90,Very Active,Omnivore,26.3,overweight,loss_weight,3365.91,2865.91,336.59,252.44,112.2
98,45,Female,172,75,Sedentary,Vegan,25.35,overweight,loss_weight,1726.8,1226.8,172.68,129.51,57.56
99,28,Female,165,55,Lightly Active,Omnivore,20.2,healthy weight,mainten_weight,1760.34,1760.34,132.03,176.03,58.68
100,55,Male,180,90,Moderately Active,Vegetarian,27.78,overweight,loss_weight,2720.25,2220.25,272.03,204.02,90.67
101,32,Female,170,60,Very Active,Vegan,20.76,healthy weight,mainten_weight,2314.09,2314.09,173.56,231.41,77.14
102,22,Male,190,85,Sedentary,Omnivore,23.55,healthy weight,mainten_weight,2319.0,2319.0,173.92,231.9,77.3
103,62,Female,160,70,Moderately Active,Vegan,27.34,overweight,loss_weight,1904.95,1404.95,190.5,142.87,63.5
104,25,Male,185,95,Lightly Active,Omnivore,27.76,overweight,loss_weight,2731.09,2231.09,273.11,204.83,91.04
105,40,Female,175,75,Very Active,Vegetarian,24.49,healthy weight,mainten_weight,2557.74,2557.74,191.83,255.77,85.26
106,38,Male,178,80,Sedentary,Vegan,25.25,overweight,loss_weight,2073.0,1573.0,207.3,155.47,69.1
107,20,Female,168,50,Lightly Active,Omnivore,17.72,underweight,gain_muscle,1772.38,2272.38,155.08,199.39,39.39
108,58,Male,175,85,Moderately Active,Vegetarian,27.76,overweight,loss_weight,2571.06,2071.06,257.11,192.83,85.7
109,25,Male,175,75,Moderately Active,Omnivore,24.49,healthy weight,mainten_weight,2671.81,2671.81,200.39,267.18,89.06
110,38,Female,165,60,Lightly Active,Vegetarian,22.04,healthy weight,mainten_weight,1760.34,1760.34,132.03,176.03,58.68
111,55,Male,180,90,Sedentary,Omnivore,27.78,overweight,loss_weight,2106.0,1606.0,210.6,157.95,70.2
112,62,Female,160,70,Sedentary,Vegan,27.34,overweight,loss_weight,1474.8,974.8,147.48,110.61,49.16
113,28,Female,170,65,Very Active,Omnivore,22.49,healthy weight,mainten_weight,2434.84,2434.84,182.61,243.48,81.16
114,32,Male,185,85,Moderately Active,Vegan,24.84,healthy weight,mainten_weight,2869.44,2869.44,215.21,286.94,95.65
115,68,Male,170,80,Lightly Active,Omnivore,27.68,overweight,loss_weight,2100.31,1600.31,210.03,157.52,70.01
116,45,Female,165,65,Very Active,Vegetarian,23.88,healthy weight,mainten_weight,2234.31,2234.31,167.57,223.43,74.48
117,72,Female,155,55,Sedentary,Omnivore,22.89,healthy weight,mainten_weight,1197.3,1197.3,89.8,119.73,39.91
118,21,Male,190,95,Moderately Active,Omnivore,26.32,overweight,loss_weight,3158.12,2658.12,315.81,236.86,105.27
119,25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight,2797.75,2797.75,209.83,279.78,93.26
120,30,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight,1884.09,1884.09,141.31,188.41,62.8
121,55,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight,2068.5,1568.5,206.85,155.14,68.95
122,22,Female,170,55,Very Active,Vegan,19.03,healthy weight,mainten_weight,2314.09,2314.09,173.56,231.41,77.14
123,60,Female,155,60,Moderately Active,Vegetarian,24.97,healthy weight,mainten_weight,1717.01,1717.01,128.78,171.7,57.23
124,28,Male,190,100,Very Active,Omnivore,27.7,overweight,loss_weight,3540.56,3040.56,354.06,265.54,118.02
125,35,Female,160,50,Lightly Active,Vegan,19.53,healthy weight,mainten_weight,1600.5,1600.5,120.04,160.05,53.35
126,48,Male,185,95,Moderately Active,Omnivore,27.76,overweight,loss_weight,2900.44,2400.44,290.04,217.53,96.68
127,65,Male,170,75,Sedentary,Omnivore,25.95,overweight,loss_weight,1791.0,1291.0,179.1,134.32,59.7
128,19,Female,168,58,Very Active,Vegan,20.55,healthy weight,mainten_weight,2370.15,2370.15,177.76,237.02,79.0
129,25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight,2875.25,2375.25,287.53,215.64,95.84
130,38,Female,165,68,Lightly Active,Vegetarian,24.98,healthy weight,mainten_weight,1870.34,1870.34,140.28,187.03,62.34
131,55,Male,175,95,Sedentary,Vegan,31.02,obese,loss_weight,2128.5,1628.5,212.85,159.64,70.95
132,22,Female,160,55,Very Active,Omnivore,21.48,healthy weight,mainten_weight,2206.28,2206.28,165.47,220.63,73.54
133,62,Female,168,72,Sedentary,Vegan,25.51,overweight,loss_weight,1558.8,1058.8,155.88,116.91,51.96
134,30,Male,190,100,Moderately Active,Omnivore,27.7,overweight,loss_weight,3165.88,2665.88,316.59,237.44,105.53
135,28,Female,170,65,Lightly Active,Vegetarian,22.49,healthy weight,mainten_weight,1940.81,1940.81,145.56,194.08,64.69
136,40,Male,185,90,Very Active,Omnivore,26.3,overweight,loss_weight,3210.66,2710.66,321.07,240.8,107.02
137,21,Female,168,58,Lightly Active,Vegan,20.55,healthy weight,mainten_weight,1875.5,1875.5,140.66,187.55,62.52
138,58,Male,178,88,Sedentary,Omnivore,27.77,overweight,loss_weight,2049.0,1549.0,204.9,153.67,68.3
139,25,Female,165,58,Moderately Active,Omnivore,21.3,healthy weight,mainten_weight,2054.14,2054.14,154.06,205.41,68.47
140,32,Male,180,85,Lightly Active,Omnivore,26.23,overweight,loss_weight,2502.5,2002.5,250.25,187.69,83.42
141,55,Female,160,70,Sedentary,Vegetarian,27.34,overweight,loss_weight,1516.8,1016.8,151.68,113.76,50.56
142,40,Male,190,95,Moderately Active,Vegan,26.32,overweight,loss_weight,3010.88,2510.88,301.09,225.82,100.36
143,68,Female,155,62,Sedentary,Vegan,25.81,overweight,loss_weight,1305.3,805.3,130.53,97.9,43.51
144,28,Male,175,78,Very Active,Omnivore,25.47,overweight,loss_weight,2999.34,2499.34,299.93,224.95,99.98
145,35,Female,170,65,Lightly Active,Vegetarian,22.49,healthy weight,mainten_weight,1892.69,1892.69,141.95,189.27,63.09
146,52,Male,185,100,Very Active,Vegan,29.22,overweight,loss_weight,3279.66,2779.66,327.97,245.97,109.32
147,22,Female,168,55,Moderately Active,Vegan,19.49,healthy weight,mainten_weight,2059.95,2059.95,154.5,206.0,68.66
148,47,Male,178,80,Sedentary,Omnivore,25.25,overweight,loss_weight,2019.0,1519.0,201.9,151.42,67.3
149,28,Female,165,60,Lightly Active,Omnivore,22.04,healthy weight,mainten_weight,1829.09,1829.09,137.18,182.91,60.97
150,35,Male,180,80,Moderately Active,Vegetarian,24.69,healthy weight,mainten_weight,2720.25,2720.25,204.02,272.03,90.67
151,55,Female,160,75,Sedentary,Vegan,29.3,overweight,loss_weight,1576.8,1076.8,157.68,118.26,52.56
152,62,Male,175,90,Moderately Active,Omnivore,29.39,overweight,loss_weight,2617.56,2117.56,261.76,196.32,87.25
153,22,Female,170,55,Very Active,Omnivore,19.03,healthy weight,mainten_weight,2314.09,2314.09,173.56,231.41,77.14
154,40,Male,185,100,Lightly Active,Vegetarian,29.22,overweight,loss_weight,2696.72,2196.72,269.67,202.25,89.89
155,68,Female,155,65,Sedentary,Omnivore,27.06,overweight,loss_weight,1341.3,841.3,134.13,100.6,44.71
156,70,Male,170,85,Sedentary,Vegan,29.41,overweight,loss_weight,1881.0,1381.0,188.1,141.07,62.7
157,33,Female,168,70,Very Active,Omnivore,24.8,healthy weight,mainten_weight,2456.4,2456.4,184.23,245.64,81.88
158,25,Male,190,95,Moderately Active,Vegan,26.32,overweight,loss_weight,3127.12,2627.12,312.71,234.53,104.24
159,25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight,2797.75,2797.75,209.83,279.78,93.26
160,55,Female,165,70,Sedentary,Vegetarian,25.71,overweight,loss_weight,1554.3,1054.3,155.43,116.57,51.81
161,32,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight,3419.81,2919.81,341.98,256.49,113.99
162,68,Female,170,65,Lightly Active,Vegan,22.49,healthy weight,mainten_weight,1665.81,1665.81,124.94,166.58,55.53
163,42,Male,185,100,Very Active,Omnivore,29.22,overweight,loss_weight,3365.91,2865.91,336.59,252.44,112.2
164,58,Female,160,55,Sedentary,Vegan,21.48,healthy weight,mainten_weight,1318.8,1318.8,98.91,131.88,43.96
165,35,Male,178,85,Lightly Active,Vegetarian,26.83,overweight,loss_weight,2464.69,1964.69,246.47,184.85,82.16
166,72,Male,175,75,Sedentary,Vegan,24.49,healthy weight,mainten_weight,1786.5,1786.5,133.99,178.65,59.55
167,48,Female,168,68,Moderately Active,Omnivore,24.09,healthy weight,mainten_weight,2059.95,2059.95,154.5,206.0,68.66
168,25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight,2875.25,2375.25,287.53,215.64,95.84
169,32,Female,165,60,Sedentary,Vegetarian,22.04,healthy weight,mainten_weight,1572.3,1572.3,117.92,157.23,52.41
170,55,Female,160,75,Lightly Active,Vegan,29.3,overweight,loss_weight,1806.75,1306.75,180.68,135.51,60.22
171,40,Male,185,95,Very Active,Omnivore,27.76,overweight,loss_weight,3296.91,2796.91,329.69,247.27,109.9
172,28,Female,170,70,Moderately Active,Vegetarian,24.22,healthy weight,mainten_weight,2265.33,2265.33,169.9,226.53,75.51
173,62,Male,175,80,Lightly Active,Omnivore,26.12,overweight,loss_weight,2184.53,1684.5300000000002,218.45,163.84,72.82
174,35,Female,168,65,Moderately Active,Vegan,23.03,healthy weight,mainten_weight,2114.2,2114.2,158.56,211.42,70.47
175,22,Male,190,90,Very Active,Omnivore,24.93,healthy weight,mainten_weight,3419.81,3419.81,256.49,341.98,113.99
176,48,Female,172,78,Sedentary,Vegetarian,26.37,overweight,loss_weight,1744.8,1244.8,174.48,130.86,58.16
177,21,Male,183,82,Moderately Active,Vegan,24.49,healthy weight,mainten_weight,2888.81,2888.81,216.66,288.88,96.29
178,25,Male,180,80,Moderately Active,Omnivore,24.69,healthy weight,mainten_weight,2797.75,2797.75,209.83,279.78,93.26
179,32,Female,165,65,Lightly Active,Vegetarian,23.88,healthy weight,mainten_weight,1870.34,1870.34,140.28,187.03,62.34
180,58,Male,175,95,Sedentary,Omnivore,31.02,obese,loss_weight,2110.5,1610.5,211.05,158.29,70.35
181,28,Female,170,70,Very Active,Vegan,24.22,healthy weight,mainten_weight,2521.09,2521.09,189.08,252.11,84.04
182,62,Female,160,75,Sedentary,Vegan,29.3,overweight,loss_weight,1534.8,1034.8,153.48,115.11,51.16
183,45,Male,185,105,Moderately Active,Omnivore,30.68,obese,loss_weight,3078.69,2578.69,307.87,230.9,102.62
184,21,Female,168,55,Lightly Active,Vegetarian,19.49,healthy weight,mainten_weight,1834.25,1834.25,137.57,183.43,61.14
185,68,Male,170,85,Sedentary,Omnivore,29.41,overweight,loss_weight,1893.0,1393.0,189.3,141.97,63.1
186,35,Female,172,68,Very Active,Vegan,22.99,healthy weight,mainten_weight,2447.78,2447.78,183.58,244.78,81.59
187,55,Female,158,60,Sedentary,Vegan,24.03,healthy weight,mainten_weight,1381.8,1381.8,103.63,138.18,46.06
188,25,Female,165,55,Lightly Active,Omnivore,20.2,healthy weight,mainten_weight,1780.97,1780.97,133.57,178.1,59.37
189,58,Male,180,90,Moderately Active,Vegetarian,27.78,overweight,loss_weight,2697.0,2197.0,269.7,202.28,89.9
190,32,Female,170,65,Sedentary,Vegan,22.49,healthy weight,mainten_weight,1669.8,1669.8,125.23,166.98,55.66
191,62,Male,175,85,Very Active,Omnivore,27.76,overweight,loss_weight,2826.84,2326.84,282.68,212.01,94.23
192,28,Female,160,50,Lightly Active,Vegan,19.53,healthy weight,mainten_weight,1648.62,1648.62,123.65,164.86,54.95
193,45,Male,185,100,Moderately Active,Omnivore,29.22,overweight,loss_weight,3001.19,2501.19,300.12,225.09,100.04
194,68,Female,162,60,Sedentary,Vegan,22.86,healthy weight,mainten_weight,1333.8,1333.8,100.03,133.38,44.46
195,35,Male,190,80,Very Active,Omnivore,22.16,healthy weight,mainten_weight,3135.19,3135.19,235.14,313.52,104.51
196,21,Female,172,58,Lightly Active,Vegetarian,19.61,healthy weight,mainten_weight,1909.88,1909.88,143.24,190.99,63.66
197,55,Male,178,82,Moderately Active,Vegan,25.88,overweight,loss_weight,2576.88,2076.88,257.69,193.27,85.9
198,25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight,2875.25,2375.25,287.53,215.64,95.84
199,32,Female,165,60,Lightly Active,Vegetarian,22.04,healthy weight,mainten_weight,1801.59,1801.59,135.12,180.16,60.05
200,55,Male,175,90,Sedentary,Omnivore,29.39,overweight,loss_weight,2068.5,1568.5,206.85,155.14,68.95
201,68,Female,160,70,Sedentary,Vegan,27.34,overweight,loss_weight,1438.8,938.8,143.88,107.91,47.96
202,28,Male,190,100,Very Active,Omnivore,27.7,overweight,loss_weight,3540.56,3040.56,354.06,265.54,118.02
203,42,Female,170,75,Moderately Active,Vegan,25.95,overweight,loss_weight,2234.33,1734.33,223.43,167.57,74.48
204,38,Male,185,95,Lightly Active,Omnivore,27.76,overweight,loss_weight,2641.72,2141.72,264.17,198.13,88.06
205,52,Female,165,65,Sedentary,Vegetarian,23.88,healthy weight,mainten_weight,1512.3,1512.3,113.42,151.23,50.41
206,22,Female,170,55,Very Active,Vegan,19.03,healthy weight,mainten_weight,2314.09,2314.09,173.56,231.41,77.14
207,48,Male,175,80,Moderately Active,Omnivore,26.12,overweight,loss_weight,2571.06,2071.06,257.11,192.83,85.7
208,25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight,2875.25,2375.25,287.53,215.64,95.84
209,38,Female,165,68,Sedentary,Vegetarian,24.98,healthy weight,mainten_weight,1632.3,1632.3,122.42,163.23,54.41
210,55,Male,175,90,Lightly Active,Omnivore,29.39,overweight,loss_weight,2370.16,1870.1599999999999,237.02,177.76,79.01
211,62,Female,160,75,Sedentary,Vegan,29.3,overweight,loss_weight,1534.8,1034.8,153.48,115.11,51.16
212,28,Male,190,100,Very Active,Omnivore,27.7,overweight,loss_weight,3540.56,3040.56,354.06,265.54,118.02
213,32,Female,170,65,Moderately Active,Vegetarian,22.49,healthy weight,mainten_weight,2156.83,2156.83,161.76,215.68,71.89
214,68,Male,170,80,Lightly Active,Omnivore,27.68,overweight,loss_weight,2100.31,1600.31,210.03,157.52,70.01
215,21,Female,165,55,Very Active,Vegan,20.2,healthy weight,mainten_weight,2268.81,2268.81,170.16,226.88,75.63
216,45,Male,185,95,Moderately Active,Omnivore,27.76,overweight,loss_weight,2923.69,2423.69,292.37,219.28,97.46
217,70,Female,155,60,Sedentary,Vegan,24.97,healthy weight,mainten_weight,1269.3,1269.3,95.2,126.93,42.31
218,25,Female,165,58,Moderately Active,Omnivore,21.3,healthy weight,mainten_weight,2054.14,2054.14,154.06,205.41,68.47
219,32,Male,180,90,Lightly Active,Vegetarian,27.78,overweight,loss_weight,2571.25,2071.25,257.12,192.84,85.71
220,55,Female,160,65,Sedentary,Vegan,25.39,overweight,loss_weight,1456.8,956.8,145.68,109.26,48.56
221,48,Male,185,105,Very Active,Omnivore,30.68,obese,loss_weight,3400.41,2900.41,340.04,255.03,113.35
222,38,Male,175,75,Moderately Active,Vegetarian,24.49,healthy weight,mainten_weight,2571.06,2571.06,192.83,257.11,85.7
223,21,Female,170,60,Lightly Active,Omnivore,20.76,healthy weight,mainten_weight,1920.19,1920.19,144.01,192.02,64.01
224,58,Male,178,80,Sedentary,Omnivore,25.25,overweight,loss_weight,1953.0,1453.0,195.3,146.47,65.1
225,70,Female,162,68,Sedentary,Vegan,25.91,overweight,loss_weight,1417.8,917.8,141.78,106.33,47.26
226,42,Male,190,100,Very Active,Vegetarian,27.7,overweight,loss_weight,3419.81,2919.81,341.98,256.49,113.99
227,25,Male,180,85,Moderately Active,Omnivore,26.23,overweight,loss_weight,2875.25,2375.25,287.53,215.64,95.84
228,62,Female,165,70,Lightly Active,Vegan,25.71,overweight,loss_weight,1732.84,1232.84,173.28,129.96,57.76
229,38,Male,190,95,Very Active,Omnivore,26.32,overweight,loss_weight,3368.06,2868.06,336.81,252.6,112.27
